date,changePercent,close,high,low,open,volume,ticker
2017-01-03,2.671,28.83,28.87,28.17,28.6,2746634,AA
2017-01-04,4.96,30.26,30.3,29.02,29.02,3339520,AA
2017-01-05,1.289,30.65,30.93,30.115,30.18,2444552,AA
2017-01-06,0.098,30.68,31.1,30.31,30.69,2086333,AA
2017-01-09,-3.911,29.48,30.88,29.215,30.88,4205059,AA
2017-01-10,5.088,30.98,31.1,29.73,29.83,3824409,AA
2017-01-11,3.196,31.97,32.0,31.08,31.08,3068269,AA
2017-01-12,3.347,33.04,33.5,32.51,33.0,4521704,AA
2017-01-13,-0.091,33.01,33.43,32.53,32.82,3026712,AA
2017-01-17,-1.121,32.64,33.04,32.52,32.97,1382009,AA
2017-01-18,6.648,34.81,34.83,32.64,32.95,6420118,AA
2017-01-19,1.752,35.42,35.63,34.18,34.22,5050105,AA
2017-01-20,0.678,35.66,35.74,34.93,35.4,5330864,AA
2017-01-23,1.767,36.29,36.395,35.455,35.92,5245003,AA
2017-01-24,3.334,37.5,38.38,37.18,37.18,11911148,AA
2017-01-25,-2.587,36.53,38.94,36.31,38.58,13583342,AA
2017-01-26,-0.63,36.3,37.0699,35.51,36.22,5735412,AA
2017-01-27,1.019,36.67,37.39,36.27,36.3,3617786,AA
2017-01-30,-0.327,36.55,36.59,35.77,36.48,3002400,AA
2017-01-31,-0.274,36.45,37.23,36.01,36.78,2690280,AA
2017-02-01,-0.521,36.26,37.19,36.2,36.58,2905397,AA
2017-02-02,3.916,37.68,38.37,36.63,36.7,5049682,AA
2017-02-03,-2.176,36.86,38.05,36.83,37.87,5243335,AA
2017-02-06,2.415,37.75,38.0,36.8,36.9,2833872,AA
2017-02-07,0.583,37.97,38.25,37.31,38.04,3269994,AA
2017-02-08,-1.132,37.54,38.5,37.11,37.93,3121713,AA
2017-02-09,-0.32,37.42,37.75,36.994,37.41,3392385,AA
2017-02-10,2.352,38.3,38.54,37.505,37.92,3629116,AA
2017-02-13,0.47,38.48,39.78,38.45,38.79,5366057,AA
2017-02-14,0.208,38.56,39.25,38.18,38.57,3818607,AA
2017-02-15,-1.789,37.87,38.3,37.73,38.25,11488878,AA
2017-02-16,-3.723,36.46,37.8303,36.35,37.82,7040708,AA
2017-02-17,-0.686,36.21,36.61,35.79,36.24,4516838,AA
2017-02-21,1.381,36.71,37.01,36.23,36.31,3393391,AA
2017-02-22,-0.3,36.6,36.71,36.21,36.4,2587865,AA
