id,title,director,release_date,runtime,rating,category
81145628,Norm of the North: King Sized Adventure,Richard Finn,2019,90,TV-PG,Children & Family Movies
80125979,#realityhigh,Fernando Lebrija,2017,99,TV-14,Comedies
70304989,Automata,Gabe Ibanez,2014,110,R,International Movies
80164077,Fabrizio Copano: Solo pienso en mi,Rodrigo Toro,2017,60,TV-MA,Stand-Up Comedy
70304990,Good People,Henrik Ruben Genz,2014,90,R,Action & Adventure
80169755,Joaquin Reyes: Una y no mas,Jose Miguel Contreras,2017,78,TV-MA,Stand-Up Comedy
70299204,Kidnapping Mr. Heineken,Daniel Alfredson,2015,95,R,Action & Adventure
80182483,Krish Trish and Baltiboy: Battle of Wits,Munjal Shroff,2013,62,TV-Y7,Children & Family Movies
80182596,Krish Trish and Baltiboy: Best Friends Forever,Munjal Shroff,2016,65,TV-Y,Children & Family Movies
80182482,Krish Trish and Baltiboy: Comics of India,Tilak Shetty,2012,61,TV-Y7,Children & Family Movies
80182597,Krish Trish and Baltiboy: Oversmartness Never Pays,Tilak Shetty,2017,65,TV-Y7,Children & Family Movies
80182621,Krish Trish and Baltiboy: The Greatest Trick,Munjal Shroff,2013,60,TV-Y7,Children & Family Movies
80057969,Love,Gaspar Noe,2015,135,NR,Cult Movies
80060297,Manhattan Romance,Tom O'Brien,2014,98,TV-14,Comedies
80046728,Moonwalkers,Antoine Bardou-Jacquet,2015,96,R,Action & Adventure
80046727,Rolling Papers,Mitch Dickman,2015,79,TV-MA,Documentaries
70304988,Stonehearst Asylum,Brad Anderson,2014,113,PG-13,Horror Movies
80057700,The Runner,Austin Stark,2015,90,R,Dramas
80045922,6 Years,Hannah Fidell,2015,80,NR,Dramas
80203094,City of Joy,Madeleine Gavin,2018,77,TV-MA,Documentaries
70241607,Laddaland,Sopon Sukdapisit,2011,112,TV-MA,Horror Movies
80988892,Next Gen,Kevin R. Adams,2018,106,TV-PG,Children & Family Movies
80239639,Sierra Burgess Is A Loser,Ian Samuels,2018,106,PG-13,Comedies
80159586,The Most Assassinated Woman in the World,Franck Ribiere,2018,102,TV-MA,Dramas
80152447,Cezanne et moi,Daniele Thompson,2016,114,R,Dramas
81154455,Article 15,Anubhav Sinha,2019,125,TV-MA,Dramas
81113928,Care of Kancharapalem,Maha Venkatesh,2018,142,TV-14,Comedies
81052275,Ee Nagaraniki Emaindi,Tharun Bhascker,2018,133,TV-14,Comedies
81132437,Kill Me If You Dare,Senol Sonmez,2019,100,TV-14,Comedies
80058026,Hell and Back,Tom Gianas,2015,86,R,Action & Adventure
70303496,PK,Rajkumar Hirani,2014,146,TV-14,Comedies
80162141,Hard Tide,Robert Osman,2015,79,TV-MA,Dramas
80095641,Elstree 1976,Jon Spira,2015,102,TV-PG,Documentaries
80159880,ATM,Mez Tharatorn,2012,122,TV-14,Comedies
81016044,Bangkok Traffic (Love) Story,Adisorn Tresirikasem,2009,126,TV-14,Comedies
80158838,I Fine... Thank You... Love You,Mez Tharatorn,2014,116,TV-14,Comedies
81016045,One Day,Banjong Pisanthanakun,2016,135,TV-PG,Dramas
70142798,Phobia 2,Banjong Pisanthanakun,2009,125,TV-MA,Horror Movies
70062814,Shutter,Banjong Pisanthanakun,2004,96,TV-MA,Horror Movies
80158839,Suckseed,Chayanop Boonprakob,2011,130,TV-MA,Comedies
80147760,Carrie Pilby,Susan Johnson,2016,98,TV-14,Comedies
80177405,Marc Maron: Too Real,Lynn Shelton,2017,70,TV-MA,Stand-Up Comedy
81160036,Saawan,Farhan Alam,2016,128,TV-14,Dramas
81173255,The Heretics,Chad Archibald,2017,88,TV-MA,Horror Movies
81078908,The World We Make,Brian Baugh,2019,108,PG,Dramas
81155784,Watchman,A. L. Vijay,2019,93,TV-14,Comedies
80201906,Black Panther,Ryan Coogler,2018,135,PG-13,Action & Adventure
80052612,Man Up,Ben Palmer,2015,88,R,Comedies
81054495,Mo Gilligan: Momentum,Chris Howe,2019,64,TV-MA,Stand-Up Comedy
70212504,Big Miracle,Ken Kwapis,2012,107,PG,Children & Family Movies
80187061,The Mayor,Park In-je,2017,130,TV-MA,Dramas
80081155,Amanda Knox,Rod Blackhurst,2016,92,TV-MA,Documentaries
80198585,The Debt Collector,Jesse V. Johnson,2018,96,TV-MA,Action & Adventure
70233894,Act of Vengeance,Mahsun Krmzgul,2010,112,NR,Action & Adventure
81011955,Paradise Lost,Monique Gardenberg,2018,111,TV-MA,Dramas
80128722,Gerald's Game,Mike Flanagan,2017,103,TV-MA,Horror Movies
80182115,Long Shot,Jacob LaMendola,2017,40,TV-14,Documentaries
80104068,Our Souls at Night,Ritesh Batra,2017,103,TV-14,Dramas
80119349,Out of Thin Air,Dylan Howitt,2017,85,TV-14,Documentaries
80019931,"Monster High: Boo York, Boo York",William Lau,2015,72,TV-Y7,Children & Family Movies
81053893,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,Mana Yasuda,2019,45,TV-G,Documentaries
80200087,Domino,Brian De Palma,2019,89,R,International Movies
81053892,TUNA GIRL,Mana Yasuda,2019,90,TV-PG,Dramas
81002850,5CM,Rizal Mantovani,2012,126,TV-14,Dramas
81004470,Animal World,Han Yan,2018,130,TV-MA,Action & Adventure
80157072,Hold the Dark,Jeremy Saulnier,2018,126,TV-MA,Action & Adventure
81001809,Lessons from a School Shooting: Notes from Dunblane,Kim A. Snyder,2018,24,TV-PG,Documentaries
81002864,Single,Raditya Dika,2015,127,TV-PG,Comedies
81016750,The 3rd Eye,Rocky Soraya,2018,108,TV-MA,Horror Movies
81002866,The Sinking Of Van Der Wijck,Sunil Soraya,2013,163,TV-14,Dramas
80992039,Two Catalonias,Alvaro Longoria,2018,117,TV-MA,Documentaries
80126507,Bobby Sands: 66 Days,Brendan Byrne,2016,106,TV-14,Documentaries
81132443,Deliha 2,Gupse Ozay,2018,102,TV-PG,Comedies
80231903,In the Shadow of the Moon,Jim Mickle,2019,116,TV-MA,Dramas
81171121,Sturgill Simpson Presents Sound & Fury,Jumpei Mizusaki,2019,42,TV-MA,Anime Features
81012295,Weeds on Fire,Chi Fat Chan,2016,95,TV-14,Dramas
80060037,Much Loved,Nabil Ayouch,2015,104,TV-MA,Dramas
60003155,Joseph: King of Dreams,Rob LaDuca,2000,75,TV-PG,Children & Family Movies
81177238,Malaal,Mangesh Hadawale,2019,133,TV-14,International Movies
70270775,The Grandmaster,Wong Kar Wai,2013,108,PG-13,Action & Adventure
80215923,The Hurricane Heist,Rob Cohen,2018,103,PG-13,Action & Adventure
80151483,Def Comedy Jam 25,Louis J. Horvitz,2017,82,TV-MA,Stand-Up Comedy
80173625,Restless Creature: Wendy Whelan,Linda Saffire,2016,94,TV-MA,Documentaries
80005444,Print the Legend,Luis Lopez,2014,100,TV-14,Documentaries
80244682,Birders,Otilia Portillo Padua,2019,38,TV-G,Documentaries
81075519,Furie,Le Van Kiet,2019,97,TV-MA,Action & Adventure
80166318,Leap!,Eric Summer,2016,89,PG,Children & Family Movies
81186758,Oh! Baby (Malayalam),B. V. Nandini Reddy,2019,146,TV-14,Comedies
81186757,Oh! Baby (Tamil),B. V. Nandini Reddy,2019,146,TV-14,Comedies
80108976,USS Indianapolis: Men of Courage,Mario Van Peebles,2016,130,R,Action & Adventure
80208155,A Wrinkle in Time,Ava DuVernay,2018,110,PG,Children & Family Movies
80198423,Teach Us All,Sonia Lowman,2017,81,TV-14,Documentaries
80162144,White Island,Benjamin Turner,2016,91,TV-MA,Comedies
81053953,Inside Man: Most Wanted,Michael J. Bassett,2019,106,R,Action & Adventure
81074113,Jeff Dunham: Beside Himself,Troy Miller,2019,58,TV-MA,Stand-Up Comedy
80992496,China Salesman,Tan Bing,2017,111,TV-MA,Action & Adventure
70304191,Swearnet: The Movie,Warren P. Sonoda,2014,112,NR,Comedies
80103311,The Bar,Alex de la Iglesia,2017,102,TV-MA,Comedies
81176200,Manmadhudu 2,Rahul Ravindran,2019,152,TV-MA,Comedies
80208906,Under the Eiffel Tower,Archie Borders,2018,87,TV-MA,Comedies
80097321,Audrie & Daisy,Bonni Cohen,2016,99,TV-14,Documentaries
80106966,Iliza Shlesinger: Confirmed Kills,Bobcat Goldthwait,2016,78,TV-MA,Stand-Up Comedy
81080769,Do Paise Ki Dhoop Chaar Aane Ki Baarish,Deepti Naval,2009,121,TV-14,Dramas
70267838,20 Feet From Stardom,Morgan Neville,2013,91,PG-13,Documentaries
80211380,In Darkness,Anthony Byrne,2018,101,TV-MA,Independent Movies
80196586,Gaga: Five Foot Two,Chris Moukarbel,2017,101,TV-MA,Documentaries
80099204,The Bad Batch,Ana Lily Amirpour,2016,119,R,Dramas
80059432,SMOSH: The Movie,Alex Winter,2015,83,PG-13,Comedies
81172721,King of Boys,Kemi Adetiba,2018,182,TV-MA,Dramas
81172727,Merry Men: The Real Yoruba Demons,Toka McBaror,2018,106,TV-MA,Comedies
70153543,Sarah's Key,Gilles Paquet-Brenner,2010,102,PG-13,Dramas
81172728,The Wedding Party 2: Destination Dubai,Niyi Akinmolayan,2017,98,TV-14,Comedies
80102952,Quincy,Rashida Jones,2018,124,TV-MA,Documentaries
80243600,Between Two Ferns: The Movie,Scott Aukerman,2019,83,TV-MA,Comedies
81122669,Daddy Issues,Amara Cash,2019,82,TV-MA,Dramas
81132439,Travel Mates 2,Bedran Guzel,2018,111,TV-14,Comedies
80150502,Mad World,Chun Wong,2016,102,TV-MA,Dramas
80119815,The First Line,Coerte Voorhees,2014,87,TV-14,Dramas
80993149,Maynard,Samuel D. Pollard,2017,100,TV-PG,Documentaries
80203776,Bitcoin Heist,Ham Tran,2016,116,TV-14,Action & Adventure
80143797,I Am Not Madame Bovary,Feng Xiaogang,2016,139,TV-14,Comedies
80161931,Vincent N Roxxy,Gary Michael Schultz,2016,101,R,Dramas
80017275,Miss Julie,Liv Ullmann,2014,130,PG-13,Dramas
81107545,Kabir Singh,Sandeep Reddy Vanga,2019,171,TV-MA,Dramas
70118953,Oceans,Jacques Perrin,2009,84,G,Documentaries
80190449,The Endless,Justin Benson,2017,112,TV-MA,Independent Movies
80163156,Jerry Before Seinfeld,Michael Bonfiglio,2017,62,TV-14,Stand-Up Comedy
80149143,Come and Find Me,Zack Whedon,2016,112,R,Dramas
80987075,Class Rank,Eric Stoltz,2018,103,TV-14,Comedies
80192815,Barbie Dolphin Magic,Conrad Helten,2017,64,TV-G,Children & Family Movies
80066798,Keith Richards: Under the Influence,Morgan Neville,2015,82,TV-PG,Documentaries
81147293,A Haunting at Silver Falls: The Return,Teo Konuralp,2019,80,TV-14,Horror Movies
